mm_name,normalized_name
Hive Mother (Beholder),hive mother
Homonculus,homonculus
Hook Horror,hook horror
Horax,horax
Horax (Insect),horax
"Hornet, Giant",hornet giant
"Hornet, Giant (Insect)",hornet giant
Horse,horse
Horsefly,horsefly
How To Use This Book,how to use this book
Hsing-sing,hsing-sing
Hsing-sing (Mammal),hsing-sing
Huge,huge
Human,human
Hyena,hyena
Ice,ice
Illithid (Mind Flayer),illithid
"Imp, Mephit",imp mephit
Index,index
Insect,insect
Insect Swarm,insect swarm
Iron,iron
Ixitxachitl,ixitxachitl
Jackal,jackal
Jackal (Mammal),jackal
Jackalwere,jackalwere
Jann,jann
Jann (Genie),jann
"Jelly (Ooze, Slime, Jelly)",jelly
"Jermalaine (Gremlin, Jermalaine)",jermalaine
Jungle,jungle
Jungle Giant,jungle giant
Kelpie,kelpie
"Kelpie (Plant, Intelligent)",kelpie
Kenku,kenku
Ki-rin,ki-rin
Killer,killer
Killmoulis,killmoulis
Killmoulis (Brownie),killmoulis
King,king
Kingfisher,kingfisher
Kingfisher (Bird),kingfisher
Kirre,kirre
Korred (Satyr),korred
"Kraken (Squid, Giant)",kraken
Lacedon (Ghoul),lacedon
Lambeosaurus,lambeosaurus
Lambeosaurus (Dinosaur),lambeosaurus
Lammasu,lammasu
Lamprey,lamprey
Lamprey (Fish),lamprey
"Lamprey, Giant",lamprey giant
"Lamprey, Land",lamprey land
"Lamprey, Land (Fish)",lamprey land
Land,land
Land Shark (Bulette),land shark
Large,large
Larva,larva
Lava,lava
Leech,leech
Lensman,lensman
Lensman (Beholder),lensman
Leprechaun,leprechaun
Lernaean,lernaean
Lernaean (Hydra),lernaean
Lesser,lesser
Leucrotta,leucrotta
Leviathan,leviathan
Leviathan (Whale),leviathan
Light,light
Living Wall,living wall
Lizard,lizard
Locusts,locusts
Losel,losel
Losel (Mammal),losel
Lurker,lurker
"Lycanthrope, General",lycanthrope general
"Lynx (Cat, Great)",lynx
Maedar,maedar
Magical Items for Character Encounters,magical items for character encounters
Magical Items for NPC Parties,magical items for npc parties
Making Monsters,making monsters
Malenti,malenti
"Malenti (Elf, Aquatic)",malenti
Malephus,malephus
Malephus (Titan),malephus
Mammal,mammal
"Mammal, Herd",mammal herd
"Mammal, Small",mammal small
Mammoth (Elephant),mammoth
Mane,mane
Mane (Titan),mane
Manscorpion,manscorpion
Manta Ray,manta ray
Manta Ray (Fish),manta ray
Mantrap,mantrap
Margoyle,margoyle
Margoyle (Gargoyle),margoyle
Marid,marid
Marid (Genie),marid
Marilith,marilith
Marilith (Tanar'ri),marilith
Marine,marine
Marine Eel (Fish),marine eel
Medium,medium
"Medusa, Maedar",medusa maedar
Mephit (Imp),mephit
Mercury,mercury
Mercury Dragon,mercury dragon
Merrow (Ogre),merrow
Mimic,mimic
Mink,mink
Mist,mist
Mist Dragon,mist dragon
"Mist, Crimson Death",mist crimson death
"Mist, Vampiric",mist vampiric
Mold,mold
Mold Man,mold man
Mole,mole
"Mole (Mammal, Small)",mole
Mongrelman,mongrelman
Monkey,monkey
"Monkey (Mammal, Small)",monkey
Monkey Spider,monkey spider
Monkey Spider (Mammal),monkey spider
"Monsoon (Elemental, Composite)",monsoon
Monster,monster
Monster Summoning,monster summoning
Monster Summoning I,monster summoning i
Monster Summoning II,monster summoning ii
Monster Summoning III,monster summoning iii
Monster Summoning IV,monster summoning iv
Monster Summoning V,monster summoning v
Monster Summoning VI,monster summoning vi
Monster Summoning VII,monster summoning vii
Morkoth,morkoth
Mountain,mountain
Mountain Giant,mountain giant
"Mountain Lion (Cat, Great)",mountain lion
Mouse,mouse
"Mouse (Mammal, Small)",mouse
Muckdweller,muckdweller
Mudman,mudman
Mule,mule
Mule (Horse),mule
"Mummy, Greater",mummy greater
"Musk Creeper, Yelllow (Plant, Dangerous)",musk creeper yelllow
"Musk Zombie, Yellow (Plant, Dangerous)",musk zombie yellow
Muskrat,muskrat
"Muskrat (Mammal, Small)",muskrat
Mustard Jelly,mustard jelly
Myconid,myconid
Naga,naga
"Naga, Dark",naga dark
Narwhal,narwhal
Narwhal (Whale),narwhal
Necrophidius (Death Worm),necrophidius
"Necrophidius (Golem, Necrophidius)",necrophidius
Neo-Otyugh,neo-otyugh
Neogi,neogi
Nereid,nereid
"Nereid (Elemental, Water-Kin)",nereid
Night Hunter,night hunter
Night Hunter (Bat),night hunter
Nixie,nixie
Nixie (Sprite),nixie
NPC Parties,npc parties
NPCs,npcs
Obliviax,obliviax
"Obliviax (Plant, Intelligent)",obliviax
"Octopus, Giant",octopus giant
"Ogre, Half-",ogre half-
Oliphant (Elephant),oliphant
Olive Slime,olive slime
Olive Slime Creature,olive slime creature
Ooze/Slime/Jelly,ooze/slime/jelly
Opposum,opposum
"Opposum (Mammal, Small)",opposum
Orbus,orbus
Orbus (Beholder),orbus
Orog,orog
Osquip,osquip
Osquip (Rat),osquip
Other Worlds,other worlds
Otter,otter
"Otter (Mammal, Small)",otter
"Otter, Sea",otter sea
Overseer,overseer
Owl,owl
Owl (Bird),owl
"Pech (Elemental, Earth-Kin)",pech
Pericon (Insect),pericon
Pernicon,pernicon
Phantom,phantom
Phase,phase
Phoenix,phoenix
Phycomid (Fungus),phycomid
Piercer,piercer
"Pig, Domestic",pig domestic
"Pig, Domestic (Mammal, Small)",pig domestic
"Pig, Giant",pig giant
"Pig, Wild",pig wild
"Pig, Wild (Mammal, Small)",pig wild
"Pike, Giant",pike giant
"Pike, Giant (Fish)",pike giant
Piranha,piranha
Piranha (Fish),piranha
"Piranha, Giant",piranha giant
"Piranha, Giant (Fish)",piranha giant
"Plant, Dangerous",plant dangerous
"Plant, Intelligent",plant intelligent
Poisonous,poisonous
Poisonous Frog (Frog),poisonous frog
Polar,polar
Poltergeist,poltergeist
Pony,pony
Pony (Horse),pony
Porcupine (Mammal),porcupine
"Porcupine, Black",porcupine black
"Porcupine, Brown",porcupine brown
Porphyl,porphyl
Porphyl (Titan),porphyl
Praying Mantis,praying mantis
Praying Mantis (Insect),praying mantis
Pteranodon,pteranodon
Pteranodon (Dinosaur),pteranodon
"Pudding, Deadly",pudding deadly
Pungi Ray,pungi ray
Pungi Ray (Fish),pungi ray
Pyrohydra,pyrohydra
Quaggoth,quaggoth
Quasit,quasit
Quasit (Imp),quasit
Queen,queen
Quickwood,quickwood
"Quickwood (Plant, Intelligent)",quickwood
Quipper,quipper
Quipper (Fish),quipper
Rabbit,rabbit
"Rabbit (Mammal, Small)",rabbit
Race Subtable,race subtable
Racoon,racoon
"Racoon (Mammal, Small)",racoon
Rat,rat
Raven,raven
Raven (Bird),raven
Red Abishai,red abishai
Red Abishai (Baatezu),red abishai
Red Dragon,red dragon
Reef,reef
Reef Giant,reef giant
Retch Plant,retch plant
"Retch Plant (Plant, Dangerous)",retch plant
Rhinoceros,rhinoceros
Riding,riding
Riding Horse (Horse),riding horse
Rothe,rothe
Rothe (Mammal),rothe
Russet,russet
"Sandling (Elemental, Earth-Kin)",sandling
Sapphire Dragon,sapphire dragon
Scarecrow,scarecrow
"Scarecrow (Golem, Scarecrow)",scarecrow
Scorpion,scorpion
"Sea Elf (Elf, Aquatic)",sea elf
Sea Lion,sea lion
"Sea Otter (Mammal, Small)",sea otter
Sea Sprite,sea sprite
"Seahorse, Giant",seahorse giant
"Seahorse, Giant (Fish)",seahorse giant
Seawolf,seawolf
Seawolf (Lycanthrope),seawolf
Selkie,selkie
"Serpent, Winged (Snake, Winged)",serpent winged
Shadow Dragon,shadow dragon
Shark,shark
Shark (Fish),shark
"Shark, Giant",shark giant
"Shark, Giant (Fish)",shark giant
Shedu,shedu
"Shedu, Greater",shedu greater
Sheep,sheep
"Sheep (Mammal, Herd)",sheep
Shrieker (Fungus),shrieker
Silver Dragon,silver dragon
Sinister,sinister
Sinster (Bat),sinster
Sirine,sirine
"Skeleton, Giant",skeleton giant
"Skeleton, Warrior",skeleton warrior
Skriaxit,skriaxit
"Skriaxit (Elemental, Composite)",skriaxit
Skunk,skunk
Skunk (Mammal),skunk
Skyfisher,skyfisher
Skyfisher (Bird),skyfisher
Slaad,slaad
Sleek,sleek
Sleek (Mammal),sleek
"Slime, Green (Ooze, Slime, Jelly)",slime green
"Slime, Olive (Ooze/Slime/Jelly)",slime olive
Slithering Tracker,slithering tracker
Slithering Tracker (Ooze/Slime/Jelly),slithering tracker
"Slug, Giant",slug giant
Slyph,slyph
Smoke,smoke
Snake,snake
"Snake, Winged",snake winged
Snapper-Saw,snapper-saw
"Snapper-Saw (Plant, Dangerous)",snapper-saw
Soldier,soldier
Spectator,spectator
Spectator (Beholder),spectator
Spectre,spectre
Sphinx,sphinx
Spider,spider
Spider Monkey (Mammal),spider monkey
Spirit,spirit
"Spore, Gas (Fungus)",spore gas
"Spotted Lion (Cat, Great)",spotted lion
"Spriggan, Gnome",spriggan gnome
"Squid, Giant",squid giant
Squirrel,squirrel
"Squirrel (Mammal, Small)",squirrel
"Squirrel, Flying",squirrel flying
"Squirrel, Flying (Mammal, Small)",squirrel flying
"Squirrel, Giant Black (Mammal, Small)",squirrel giant black
Stag,stag
"Stag, Wild",stag wild
"Stag, Wild (Mammal)",stag wild
Steam,steam
Steel,steel
Steel Dragon,steel dragon
Stegosaurus,stegosaurus
Stegosaurus (Dinosaur),stegosaurus
Stench Kow,stench kow
Stench Kow (Mammal),stench kow
Steppe Pony,steppe pony
Steppe Pony (Horse),steppe pony
Sting Ray (Fish),sting ray
Stingray,stingray
Stone,stone
"Stone Constructs (Golem, Stone Variants)",stone constructs
Storm,storm
Stout,stout
Stout (Halfling),stout
Strangleweed,strangleweed
"Strangleweed (Plant, Intelligent)",strangleweed
Strige,strige
Stun Jelly,stun jelly
Subterranean,subterranean
Summoning Monsters,summoning monsters
"Sundew, Giant",sundew giant
"Sundew, Giant (Plant, Intelligent)",sundew giant
Swan,swan
Swan (Bird),swan
Swanmay,swanmay
Swarm,swarm
Sword,sword
Sylia (Titan),sylia
Syllia,syllia
"Sylph (Elemental, Air-Kin)",sylph
Tabaxi,tabaxi
Table I,table i
Table II,table ii
Table III,table iii
Table IV,table iv
Taer,taer
Taer (Mammal),taer
Tako,tako
Tallfellow,tallfellow
Tallfellow (Halfling),tallfellow
Tanar'ri,tanar'ri
Tasloi,tasloi
"Tempest (Elemental, Composite)",tempest
Tenebrous Worm,tenebrous worm
Tenebrous Worm (Gloomwing),tenebrous worm
"Termite, Giant (Insect)",termite giant
"Termite, Giant Harvester",termite giant harvester
Terrain Guide,terrain guide
The Monsters,monsters
Therianthrope (Lycanthrope),therianthrope
Thorn-Slinger,thorn-slinger
"Thorn-Slinger (Plant, Dangerous)",thorn-slinger
Thorny,thorny
"Thorny (Plant, Intelligent)",thorny
Thought-Eater,thought-eater
Thri-Keen,thri-keen
Throat,throat
"Tick, Giant",tick giant
"Tick, Giant (Insect)",tick giant
Tinker,tinker
Tinker (Gnome),tinker
"Toad, Giant",toad giant
Topaz Dragon,topaz dragon
Tri-Flower Frond,tri-flower frond
"Tri-Flower Frond (Plant, Dangerous)",tri-flower frond
Triceratops,triceratops
Triceratops (Dinosaur),triceratops
Triton,triton
Tunnel Worm (Centipede),tunnel worm
Tyrannosaurus Rex (Dinosaur),tyrannosaurus rex
Tyranosaurus,tyranosaurus
Tyrg,tyrg
Tyrg (Mammal),tyrg
Undead (Death Tyrant),undead
Undead (Death Tyrant) (Beholder),undead
Urchin,urchin
Urd,urd
Urd (Kobold),urd
Vampiric,vampiric
"Vampiric Mist (Mist, Vampiric)",vampiric mist
"Vampiric, Greater",vampiric greater
Vegepygmy (Mold Man),vegepygmy
Velvet Ants,velvet ants
Verbeeg,verbeeg
Violet Fungus (Fungus),violet fungus
"Voadkyn (Giant, Wood)",voadkyn
Vodyanoi,vodyanoi
Vodyanoi (Umber Hulk),vodyanoi
Vulture,vulture
Vulture (Bird),vulture
"Wall, Living (Living Wall)",wall living
War,war
Warthog,warthog
Warthog (Mammal),warthog
"Wasp, Giant",wasp giant
"Wasp, Giant (Insect)",wasp giant
Watcher,watcher
Watcher (Beholder),watcher
Water,water
Water Beholder (Eye of the Deep),water beholder
"Water Elemental (Elemental, Fire/Water)",water elemental
"Water Weird (Elemental, Water-Kin)",water weird
Water Wierd,water wierd
Weasel,weasel
Weasel (Mammal),weasel
Weed,weed
Weed Eel (Fish),weed eel
Wemic,wemic
Werebat,werebat
Werebat (Lycanthrope),werebat
Werefox (Foxwoman),werefox
Werefox (Lycanthrope),werefox
Wereraven,wereraven
Wereraven (Lycanthrope),wereraven
Western,western
Whale,whale
White Dragon,white dragon
Wild,wild
"Wild Baboon (Mammal, Small)",wild baboon
"Wild Cat (Cat, Small)",wild cat
"Wild Pig (Mammal, Small)",wild pig
Will o'wisp,will o'wisp
"Winged Sanke (Snake, Winged)",winged sanke
Wolf,wolf
Wolfwere,wolfwere
Wolverine,wolverine
Wolverine (Mammal),wolverine
Wood (Slyvan),wood
Wood (Voadkyn),wood
Wood Giant,wood giant
Woodchuck,woodchuck
Woodchuck (Mammal),woodchuck
Worker,worker
Worm,worm
"Worm, Death (Necrophidius)",worm death
Xaren,xaren
Yaun-ti Histachii,yaun-ti histachii
Yellow,yellow
Yellow Dragon,yellow dragon
Yellow Musk,yellow musk
"Yellow Musk Creeper (Plant, Dangerous)",yellow musk creeper
Yugoloth (Guardian),yugoloth
Zaratan,zaratan
Zombie Creeper,zombie creeper
