"Proficiency","CoreRaw","CoreMapped","PoRaw","PoMapped","CoreMappedEmpty","PoMappedEmpty"
"Sculpting","Dexterity","Dexterity","Dex ,Aim/Wis,Intuition","dex_aim","False","False"
"Seamanship","Dexterity","Dexterity","Wis,Intuit./Dex,Balan.","wis_intuition","False","False"
"Seamstress/Tailor","Dexterity","Dexterity","","","False","True"
"Set Snares","Dexterity","Dexterity","Dex,Aim/Wisdom /Intuition","dex_aim","False","False"
"Set Snares","Intelligence","Intelligence","Dex,Aim/Wis,Intuition","dex_aim","False","False"
"Shipwright","Intelligence","Intelligence","Int","Intelligence","False","False"
"Sign Language","Intelligence","Intelligence","","","False","True"
"Signaling","Intelligence","Intelligence","","","False","True"
"Singing","Charisma","Charisma","Charisma/Leadership","cha_leadership","False","False"
"Slow Respiration","N/A","None","","","False","True"
"Smelting","Intelligence","Intelligence","","","False","True"
"Sound Analysis","Wisdom","Wisdom","","","False","True"
"Spacemanship","Dexterity","Dexterity","Dex","Dexterity","False","False"
"Spellcraft","Intelligence","Intelligence","Intelligence,Reason","int_reason","False","False"
"Spellcraft","Intelligence","Intelligence","Intelligence,Reason","int_reason","False","False"
"Spelljamming","Intelligence","Intelligence","Int","Intelligence","False","False"
"Spelunking","Int","Intelligence","","","False","True"
"Spelunking","Intelligence","Intelligence","","","False","True"
"Steady Hand","Dexterity/Aim","Dexterity","","","False","True"
"Steady Hand","Dexterity/Aim","Dexterity","","","False","True"
"Stewardship","Intelligence","Intelligence","Int","Intelligence","False","False"
"Stonemasonry","Strength","Strength","Str,Stamina/Wis,Intuit.","str_stamina","False","False"
"Storytelling","Charisma","Charisma","Cha","Charisma","False","False"
"Survival","Int","Intelligence","Int,Knowledge/Wis,Willpower","int_knowledge","False","False"
"Survival","Intelligence","Intelligence","Int,Knowledge/Wis,Willpower","int_knowledge","False","False"
"Survival","Intelligence","Intelligence","Int,Knowledge/Wis,Willpower","int_knowledge","False","False"
"Swimming","Strength","Strength","Strength,Stamina","str_stamina","False","False"
"Tactics of Magic","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Tailoring","Dexterity","Dexterity","Dex,Aim/Int,Reason","dex_aim","False","False"
"Thaumaturgy","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Tightrope Walking","Dexterity","Dexterity","Dexterity,Balance","dex_balance","False","False"
"Tracking","Wis","Wisdom","Wisdom/Intuition","wis_intuition","False","False"
"Tracking","Wisdom","Wisdom","Wisdom/Intuition","wis_intuition","False","False"
"Tracking","Wisdom","Wisdom","Wisdom,Intuition","wis_intuition","False","False"
"Trail Marking","Wis","Wisdom","","","False","True"
"Trail Marking","Wisdom","Wisdom","","","False","True"
"Trail Signs","Int","Intelligence","","","False","True"
"Trail Signs","Intelligence","Intelligence","","","False","True"
"Trail Signs","Intelligence","Intelligence","","","False","True"
"Trailing","Dexterity","Dexterity","","","False","True"
"Tribal Lore","Wisdom","Wisdom","Wis","Wisdom","False","False"
"Trouble Sense","Wis./Int","Intelligence","General","","False","True"
"Trouble Sense","Wis./Int","Intelligence","General","","False","True"
"Tumbling","Dexterity","Dexterity","Dex,Balance/ Str,Muscle","dex_balance","False","False"
"Undead Lore","Intelligence","Intelligence","Intelligence","Intelligence","False","False"
"Venom Handling","Dexterity","Dexterity","Dex","Dexterity","False","False"
"Ventriloquism","Intelligence","Intelligence","Int,Knowledge/Cha,Leadership","int_knowledge","False","False"
"Veterinary Healing","Wisdom","Wisdom","","","False","True"
"Veterinary Healing","Wis","Wisdom","","","False","True"
"Voice Mimicry","Charisma","Charisma","","","False","True"
"Weakness Identification","Intelligence","Intelligence","Int","Intelligence","False","False"
"Weaponsmithing","Intelligence","Intelligence","Int,knowl./cha.lead.","int_knowledge","False","False"
"Weaponsmithing","Intelligence","Intelligence","Int,Knowledge/ Dex,Aim","int_knowledge","False","False"
"Weaponsmithing, Crude","Wis","Wisdom","","","False","True"
"Weaponsmithing, Crude","Wisdom","Wisdom","","","False","True"
"Weather Knowledge","Wisdom","Wisdom","Wisdom/Intuition","wis_intuition","False","False"
"Weather Sense","Wisdom","Wisdom","","","False","True"
"Weaving","Intelligence","Intelligence","Int,Reason/Dex,Aim","int_reason","False","False"
"Whistling/Humming","Dex","Dexterity","","","False","True"
"Winemaking","Intelligence","Intelligence","","","False","True"
