Dragon	Stage	Age Category	Hit Dice	Combat Modifier	THAC0	Breath Weapon	Spell Level	Magic Resistance	Special Immunities/Abilities
Green	8	Old	17	+8	3	16d6+8	2nd	30%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing | +Adult: suggestion once a day | +Mature adult: warp wood three times a day | +Old: plant growth once a day
Green	9	Very old	18	+9	2	18d6+9	2nd	40%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing | +Adult: suggestion once a day | +Mature adult: warp wood three times a day | +Old: plant growth once a day | +Very old: entangle once a day
Green	10	Venerable	19	+10	1	20d6+10	2nd	45%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing | +Adult: suggestion once a day | +Mature adult: warp wood three times a day | +Old: plant growth once a day | +Very old: entangle once a day
Green	11	Wyrm	20	+11	0	22d6+11	2nd	50%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing | +Adult: suggestion once a day | +Mature adult: warp wood three times a day | +Old: plant growth once a day | +Very old: entangle once a day | +Wyrm: pass without trace three times a day
Green	12	Great Wyrm	21	+12	-1	24d6+12	2nd	55%	Innate: A green dragon's breath weapon is a cloud of poisonous chlorine gas that is 50' long, 40' wide, and 30 feet high. Creatures within the cloud may save versus breath weapon for half damage. A green dragon casts its spells at 6th level, adjusted by its combat modifier. From birth, green dragons are immune to gasses. As they age, they gain the following additional powers: | +Juvenile: water breathing | +Adult: suggestion once a day | +Mature adult: warp wood three times a day | +Old: plant growth once a day | +Very old: entangle once a day | +Wyrm: pass without trace three times a day
Black	1	Hatchling	6	+1	15	2d4+1	None	Nil	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers:
Black	2	Very young	8	+2	13	4d4+2	None	Nil	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers:
Black	3	Young	10	+3	11	6d4+3	None	Nil	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers:
Black	4	Juvenile	12	+4	9	8d4+4	1st	Nil	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon
Black	5	Young adult	13	+5	8	10d4+5	2nd	10%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon
Black	6	Adult	14	+6	7	12d4+6	3rd	15%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon | +Adult: corrupt water once a day. For every age category a dragon attains, it can stagnate 10 cubic feet of water, making it become still, foul, inert, and unable to support animal life. When this ability is used against potions and elixirs, they become useless if they roll a 15 or better on 1d20
Black	7	Mature adult	15	+7	6	14d4+7	4th	20%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon | +Adult: corrupt water once a day. For every age category a dragon attains, it can stagnate 10 cubic feet of water, making it become still, foul, inert, and unable to support animal life. When this ability is used against potions and elixirs, they become useless if they roll a 15 or better on 1d20
Black	8	Old	16	+8	5	16d4+8	5th	25%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon | +Adult: corrupt water once a day. For every age category a dragon attains, it can stagnate 10 cubic feet of water, making it become still, foul, inert, and unable to support animal life. When this ability is used against potions and elixirs, they become useless if they roll a 15 or better on 1d20 | +Old: plant growth once a day
Black	9	Very old	17	+9	4	18d4+9	6th	30%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon | +Adult: corrupt water once a day. For every age category a dragon attains, it can stagnate 10 cubic feet of water, making it become still, foul, inert, and unable to support animal life. When this ability is used against potions and elixirs, they become useless if they roll a 15 or better on 1d20 | +Old: plant growth once a day
Black	10	Venerable	18	+10	3	20d4+10	7th	35%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon | +Adult: corrupt water once a day. For every age category a dragon attains, it can stagnate 10 cubic feet of water, making it become still, foul, inert, and unable to support animal life. When this ability is used against potions and elixirs, they become useless if they roll a 15 or better on 1d20 | +Old: plant growth once a day | +Venerable: summon insects once a day
Black	11	Wyrm	19	+11	2	22d4+11	8th	40%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon | +Adult: corrupt water once a day. For every age category a dragon attains, it can stagnate 10 cubic feet of water, making it become still, foul, inert, and unable to support animal life. When this ability is used against potions and elixirs, they become useless if they roll a 15 or better on 1d20 | +Old: plant growth once a day | +Venerable: summon insects once a day
Black	12	Great Wyrm	20	+12	1	24d4+12	9th	45%	Innate: A black dragon's breath weapon is a 5' wide stream of acid that extends 60' in a straight line from the dragon's head. All creatures caught in this stream must save vs. breath weapon for half damage. A black dragon casts spells and uses its magical abilities at 5th level, plus its combat modifier. Black dragons are born with an innate water breathing ability and an immunity to acid. As they age, they gain the following additional powers: | +Juvenile: darkness three times a day in a 10' radius per age category of the dragon | +Adult: corrupt water once a day. For every age category a dragon attains, it can stagnate 10 cubic feet of water, making it become still, foul, inert, and unable to support animal life. When this ability is used against potions and elixirs, they become useless if they roll a 15 or better on 1d20 | +Old: plant growth once a day | +Venerable: summon insects once a day | +Great Wyrm: charm reptiles three times a day. This operates as a charm mammals spell, but is applicable only to reptiles
White	1	Hatchling	5	+1	15	1d6+1	None	Nil	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities:
White	2	Very young	7	+2	13	2d6+2	None	Nil	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities:
White	3	Young	9	+3	11	3d6+3	None	Nil	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities:
White	4	Juvenile	11	+4	9	4d6+4	None	Nil	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground
White	5	Young adult	12	+5	8	5d6+5	None	5%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground
White	6	Adult	13	+6	7	6d6+6	1st	10%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground
White	7	Mature adult	14	+7	6	7d6+7	1st	15%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground | +Mature adult: gust of wind three times a day
White	8	Old	15	+8	5	8d6+8	2nd	20%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground | +Mature adult: gust of wind three times a day
White	9	Very old	16	+9	4	9d6+9	2nd	25%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground | +Mature adult: gust of wind three times a day | +Very old: wall of fog three times a day, this produces snow or hail rather than rain
White	10	Venerable	17	+10	3	10d6+10	3rd	30%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground | +Mature adult: gust of wind three times a day | +Very old: wall of fog three times a day, this produces snow or hail rather than rain
White	11	Wyrm	18	+11	2	11d6+11	3rd	35%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground | +Mature adult: gust of wind three times a day | +Very old: wall of fog three times a day, this produces snow or hail rather than rain | +Wyrm: freezing fog three times a day. This obscures vision in a 100' radius and causes frost to form, creating a thin layer of glare ice on the ground and on all surfaces within the radius
White	12	Great Wyrm	19	+12	1	12d6+12	4th	40%	Innate: A white dragon's breath weapon is a come of frost 70' long, 5' wide at the dragon's mouth, and 25' wide at the base. Creatures caught in the blast may Save versus Breath Weapon for half damage. A white dragon casts its spells and uses its magical abilities at 5th level, plus its combat modifier. From their birth, white dragons are immune to cold. As they grow older, they gain the following additional abilities: | +Juvenile: ice walking, which allows the dragon to walk across ice as easily as easily as creatures walk across flat, dry ground | +Mature adult: gust of wind three times a day | +Very old: wall of fog three times a day, this produces snow or hail rather than rain | +Wyrm: freezing fog three times a day. This obscures vision in a 100' radius and causes frost to form, creating a thin layer of glare ice on the ground and on all surfaces within the radius
Brass	1	Hatchling	6	+1	15	2d4+1	None	Nil	None listed in age table text.
Brass	2	Very young	8	+2	13	4d4+2	None	Nil	None listed in age table text.
Brass	3	Young	10	+3	11	6d4+3	None	Nil	None listed in age table text.
Brass	4	Juvenile	12	+4	9	8d4+4	1st	Nil	None listed in age table text.
Brass	5	Young adult	13	+5	8	10d4+5	1st	15%	None listed in age table text.
Brass	6	Adult	14	+6	7	12d4+6	2nd	20%	None listed in age table text.
